Accident_ID,Year,Month,Day,HHMM,Lum,Localization,Type_of_Intersection,ATM_Conditions,Type_of_Colision,Postal_Adress,GPS_Coding,Deparment,Latitud/Longitud
201700000071,17,12,6,745,2,2,1,1,6,668 rue de bruges,M,620,"50.65619,2.78814"
201700000072,17,3,13,1330,1,1,1,1,1,2540,M,620,"50.68154,1.80471"
201700000073,17,7,30,1200,1,2,1,1,3,36 route de samer D127E4,M,620,"50.61798,1.83044"
201700000074,17,4,1,2315,3,1,1,1,6,,M,620,"50.77575,1.72825"
201700000075,17,4,10,1330,1,1,1,7,7,,M,620,"50.76816,1.66703"
201700000076,17,4,15,1645,1,1,2,8,4,,M,620,"50.80954,1.7787"
201700000077,17,7,3,1530,1,1,1,1,2,,M,620,"50.90452,1.68739"
201700000078,17,7,16,1930,1,1,1,1,5,rue e. quenu,M,620,"50.82368,1.69693"
201700000079,17,9,3,1330,1,1,1,1,3,,M,620,"50.82898,1.7553"
201700000080,17,10,23,1915,2,1,1,1,3,,M,620,"50.83585,1.63611"
201700000081,17,3,7,830,1,1,1,4,1,,M,620,"50.67753,1.58255"
201700000082,17,4,17,1400,1,1,1,1,5,,M,620,"50.63543,1.64473"
201700000083,17,12,12,2030,3,1,1,1,1,,M,620,"50.60794,1.63243"
201700000084,17,4,29,1015,1,1,1,1,1,,M,620,"50.43543,2.68823"
201700000085,17,5,4,1945,1,1,3,7,1,,M,620,"50.40504,2.6319"
201700000086,17,5,5,1030,1,2,1,7,7,RUE ROUANEL,M,620,"50.4377,2.55002"
201700000087,17,5,26,1545,1,1,1,1,1,,M,620,"50.43661,2.66594"
201700000088,17,7,28,1730,1,1,1,1,3,,M,620,"50.42766,2.56116"
201700000089,17,10,9,345,5,2,1,1,3,rue de la mairie,M,620,"50.40897,2.64217"
201700000090,17,10,12,845,1,2,1,1,6,"rue Victor HUGO, D 188",M,620,"50.45134,2.63813"
201700000091,17,11,6,1800,3,1,1,1,2,,M,620,"50.44119,2.64861"
201700000092,17,6,29,530,1,2,1,1,7,CD939,M,620,"50.50084,1.69175"
201700000093,17,9,21,2045,3,1,1,1,6,,M,620,"50.46792,1.72762"
